2020/09/14 15:48:16 [warn] 29#29: *51 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000001, client: 172.18.0.1, server: localhost, request: "POST /profiles/mikedoe HTTP/1.1", host: "localhost", referrer: "http://localhost/profiles/mikedoe/edit"
2020/09/15 05:41:39 [error] 28#28: *45 directory index of "/var/www/public/storage/" is forbidden, client: 172.18.0.1, server: localhost, request: "GET /storage/ HTTP/1.1", host: "localhost", referrer: "http://localhost/explore?page=2"
2020/09/15 05:41:41 [error] 28#28: *45 directory index of "/var/www/public/storage/" is forbidden, client: 172.18.0.1, server: localhost, request: "GET /storage/ HTTP/1.1", host: "localhost", referrer: "http://localhost/explore?page=1"
2020/09/15 05:41:44 [error] 28#28: *45 directory index of "/var/www/public/storage/" is forbidden, client: 172.18.0.1, server: localhost, request: "GET /storage/ HTTP/1.1", host: "localhost", referrer: "http://localhost/explore?page=2"
2020/09/15 05:42:00 [error] 28#28: *45 directory index of "/var/www/public/storage/" is forbidden, client: 172.18.0.1, server: localhost, request: "GET /storage/ HTTP/1.1", host: "localhost", referrer: "http://localhost/profiles/barry.lehner"
2020/09/15 05:42:04 [error] 28#28: *45 directory index of "/var/www/public/storage/" is forbidden, client: 172.18.0.1, server: localhost, request: "GET /storage/ HTTP/1.1", host: "localhost", referrer: "http://localhost/explore?page=1"
2020/09/15 05:43:28 [error] 28#28: *45 directory index of "/var/www/public/storage/" is forbidden, client: 172.18.0.1, server: localhost, request: "GET /storage/ HTTP/1.1", host: "localhost", referrer: "http://localhost/explore?page=1"
2020/09/15 06:07:53 [error] 28#28: *63 directory index of "/var/www/public/storage/" is forbidden, client: 172.18.0.1, server: localhost, request: "GET /storage/ HTTP/1.1", host: "localhost", referrer: "http://localhost/explore?page=1"
2020/09/15 06:07:53 [error] 28#28: *63 directory index of "/var/www/public/storage/" is forbidden, client: 172.18.0.1, server: localhost, request: "GET /storage/ HTTP/1.1", host: "localhost", referrer: "http://localhost/explore?page=1"
2020/09/15 06:09:11 [error] 29#29: *67 directory index of "/var/www/public/storage/" is forbidden, client: 172.18.0.1, server: localhost, request: "GET /storage/ HTTP/1.1", host: "localhost", referrer: "http://localhost/explore?page=1"
2020/09/15 06:09:22 [error] 28#28: *66 directory index of "/var/www/public/storage/" is forbidden, client: 172.18.0.1, server: localhost, request: "GET /storage/ HTTP/1.1", host: "localhost", referrer: "http://localhost/explore?page=1"
2020/09/15 06:09:27 [error] 28#28: *66 directory index of "/var/www/public/storage/" is forbidden, client: 172.18.0.1, server: localhost, request: "GET /storage/ HTTP/1.1", host: "localhost", referrer: "http://localhost/explore?page=1"
2020/09/15 06:10:03 [error] 28#28: *66 directory index of "/var/www/public/storage/" is forbidden, client: 172.18.0.1, server: localhost, request: "GET /storage/ HTTP/1.1", host: "localhost", referrer: "http://localhost/explore?page=1"
2020/09/15 06:10:04 [error] 28#28: *66 directory index of "/var/www/public/storage/" is forbidden, client: 172.18.0.1, server: localhost, request: "GET /storage/ HTTP/1.1", host: "localhost", referrer: "http://localhost/explore?page=1"
2020/09/15 06:11:26 [error] 28#28: *66 directory index of "/var/www/public/storage/" is forbidden, client: 172.18.0.1, server: localhost, request: "GET /storage/ HTTP/1.1", host: "localhost", referrer: "http://localhost/explore?page=1"
2020/09/15 06:11:35 [error] 28#28: *66 directory index of "/var/www/public/storage/" is forbidden, client: 172.18.0.1, server: localhost, request: "GET /storage/ HTTP/1.1", host: "localhost", referrer: "http://localhost/explore?page=1"
2020/09/15 06:11:38 [error] 28#28: *66 directory index of "/var/www/public/storage/" is forbidden, client: 172.18.0.1, server: localhost, request: "GET /storage/ HTTP/1.1", host: "localhost", referrer: "http://localhost/explore?page=1"
2020/09/15 06:11:55 [error] 28#28: *66 directory index of "/var/www/public/storage/" is forbidden, client: 172.18.0.1, server: localhost, request: "GET /storage/ HTTP/1.1", host: "localhost", referrer: "http://localhost/explore?page=1"
2020/09/15 06:14:13 [error] 29#29: *86 directory index of "/var/www/public/storage/" is forbidden, client: 172.18.0.1, server: localhost, request: "GET /storage/ HTTP/1.1", host: "localhost", referrer: "http://localhost/explore?page=1"
2020/09/15 10:50:25 [warn] 28#28: *137 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/2/00/0000000002 while reading upstream, client: 172.18.0.1, server: localhost, request: "GET /profiles/greta75 HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost", referrer: "http://localhost/profiles/sam22"
2020/09/15 15:36:46 [warn] 28#28: *243 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/3/00/0000000003 while reading upstream, client: 172.18.0.1, server: localhost, request: "GET /tweets HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost", referrer: "http://localhost/login"
2020/10/06 16:49:53 [warn] 28#28: *413 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000001, client: 172.18.0.1, server: localhost, request: "POST /tweets HTTP/1.1", host: "localhost", referrer: "http://localhost/tweets"
2020/10/07 11:36:34 [warn] 28#28: *443 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000002, client: 172.18.0.1, server: localhost, request: "POST /tweets HTTP/1.1", host: "localhost", referrer: "http://localhost/tweets"
2020/10/08 17:15:50 [warn] 28#28: *1375 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000003, client: 172.18.0.1, server: localhost, request: "POST /profiles/testuser2 HTTP/1.1", host: "localhost", referrer: "http://localhost/profiles/testuser2/edit"
2020/10/08 17:17:35 [warn] 28#28: *1375 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000004, client: 172.18.0.1, server: localhost, request: "POST /tweets HTTP/1.1", host: "localhost", referrer: "http://localhost/tweets"
2020/10/12 15:18:25 [warn] 29#29: *63 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/1/00/0000000001 while reading upstream, client: 172.18.0.1, server: localhost, request: "GET /bookmarks HTTP/1.1", upstream: "fastcgi://172.18.0.2:9000", host: "localhost"
